POISONS SKY
INCINERATES TANK
INCINERATES HELICOPTER
OUTCLASSES DYNAMITE
OUTCLASSES TORNADO
INCINERATES QUICKSAND
EMERGES FROM PIT
STARTS CHAIN REACTION
OUTCLASSES GUN
BREAKS LAW
INCINERATES WHIP
INCINERATES SWORD
INCINERATES ROCK
CAUSES DEATH
INCINERATES WALL
HAS POWER OF SUN
INCINERATES CAMERA
STARTS FIRE
INCINERATES CHAINSAW
INCINERATES SCHOOL
INCINERATES SCISSORS
INCINERATES POISON
INCINERATES CAGE
INCINERATES AXE
BREAKS PEACE
INCINERATES COMPUTER
INCINERATES CASTLE
INCINERATES SNAKE
INCINERATES BLOOD
INCINERATES PORCUPINE
INCINERATES VULTURE
INCINERATES MONKEY
INCINERATES KING
INCINERATES QUEEN
INCINERATES PRINCE
INCINERATES PRINCESS
INCINERATES POLICE
INCINERATES WOMAN
INCINERATES BABY
INCINERATES MAN
INCINERATES HOME
INCINERATES TRAIN
INCINERATES CAR
MAKES NOISE
INCINERATES BICYCLE
INCINERATES TREE
INCINERATES TURNIP
INCINERATES DUCK
INCINERATES WOLF
INCINERATES CAT
