HOPS FENCE
INSPIRES VIDEOGAME
QUIZZES MATH
GLITCHES ROBOT
DARKENS HEART
CUTS ELECTRICITY
BRINGS LIGHTNING
COMMANDS MEDUSA
HAS POWER
REWIRES LASER
INSPIRES NUKE
DARKENS SKY
DRIVES TANK
CRASHES HELICOPTER
LIGHTS DYNAMITE
COMMANDS TORNADO
LURES INTO QUICKSAND
HIDES IN PIT
BREAKS CHAIN
INSPIRES GUN
BREAKS LAW
CRACKS WHIP
WEILDS SWORD
HURLS ROCK
AFTER DEATH
IN THE WALL
CURSES SUN
BLURS CAMERA
COMMANDS FIRE
WEILDS CHAINSAW
SKIPS SCHOOL
RESISTS SCISSORS
USES POISON
ESCAPES CAGE
WEILDS AXE
DISTURBS PEACE
HACKS COMPUTER
HAS CASTLE
EATS SNAKES
POISONS BLOOD
SHARPER THAN PORCUPINE
IS SOUL VULTURE
BURNS MONKEY
TEMPTS KING
TEMPTS QUEEN
TEMPTS PRINCE
TEMPTS PRINCESS
EVADES POLICE
POSSESSES WOMAN
POSSESSES BABY
