BECOMES PIT
SWALLOWS CHAIN
SWALLOWS GUN
KNOWS NO LAW
TOO BIG FOR WHIP
SWALLOWS SWORD
SWALLOWS ROCK
CAUSES DEATH
PROTECTS WALL
REMOVES SUN
SWALLOWS CAMERA
ENGULFS FIRE
SWALLOWS CHAINSAW
CLOSES SCHOOL
SWALLOWS SCISSORS
ENGULFS POISON
SURROUNDS CAGE
SWALLOWS AXE
DISTURBS PEACE
SWALLOWS COMPUTER
PROTECTS CASTLE
SWALLOWS SNAKE
SUFFOCATES BLOOD
SWALLOWS PORCUPINE
SWALLOWS VULTURE
SWALLOWS MONKEY
SWALLOWS KING
SWALLOWS QUEEN
SWALLOWS PRINCE
SWALLOWS PRINCESS
SWALLOWS POLICE
SWALLOWS WOMAN
SWALLOWS BABY
SWALLOWS MAN
RUINS HOME
RUINS TRAIN (TRACK)
SWALLOWS CAR
ENGULFS NOISE
SWALLOWS BICYCLE
TOPPLES TREE
SWALLOWS TURNIP
SWALLOWS DUCK
SWALLOWS WOLF
SWALLOWS CAT
SWALLOWS BIRD (NEST)
SWALLOWS FISH
SWALLOWS SPIDER
SWALLOWS COCKROACH
SWALLOWS BRAIN
THREATENS COMMUNITY
