ATTRACTS UFO
INTRIGUES ALIEN
ENHANCES PRAYER
OVER MOUNTAIN
IRRITATES SATAN
OVER DRAGON
INDICATES DIAMOND
POINTS TO PLATINUM
POINTS TO GOLD
IRRITATES DEVIL
OVER FENCE
COLORED VIDEOGAME
OPTICS USE MATH
OVER ROBOT
CHEERS HEART
WIRED ELECTRICITY
AFTER LIGHTNING
IRRITATES MEDUSA
POWER
COLORED LASERS
AFTER NUKE
DECORATES SKY
OVER TANK
OVER HELICOPTER
OVER DYNAMITE
AFTER TORNADO
OVER QUICKSAND
OVER PIT
COLOR CHAIN
RESISTS GUN
DESPITE LAW
SHARP AS A WHIP
OVER SWORD
OVER ROCK
DESPITE DEATH
HITS WALL
DIFFRACTS SUN
CHALLENGES CAMERA
OVER FIRE
OVER CHAINSAW
OVER SCHOOL
COLORED SCISSORS
RESISTS POISON
BEYOND CAGE
RESISTS AXE
INDICATES PEACE
COLORED COMPUTER
OVER CASTLE
COLORED SNAKES
AFTER BLOODSHED
